date,test_score,seed,batch_size,epochs,lr,gamma,step,val_split,img_size,resume_file,augment,learning_curves_file,best_model_file
15-03-2023_19:38:57,0.482559570572626,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,False,results/15-03-2023_19:38:57_attunet_learning_curves.png,15-03-2023_19:38:57_attunet_best_model.h5
15-03-2023_19:54:03,0.515656934180358,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,False,results/15-03-2023_19:54:03_unet3plus_learning_curves.png,15-03-2023_19:54:03_unet3plus_best_model.h5
15-03-2023_20:10:59,0.647695730611058,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,False,results/15-03-2023_20:10:59_resunet_a_learning_curves.png,15-03-2023_20:10:59_resunet_a_best_model.h5
15-03-2023_20:43:18,0.515711025015293,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,False,results/15-03-2023_20:43:18_transunet_learning_curves.png,15-03-2023_20:43:18_transunet_best_model.h5
15-03-2023_22:58:05,0,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,False,results/15-03-2023_22:58:05_swinunet_learning_curves.png,15-03-2023_22:58:05_swinunet_best_model.h5
15-03-2023_23:20:56,0.181121279875568,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,True,results/15-03-2023_23:20:56_attunet_learning_curves.png,15-03-2023_23:20:56_attunet_best_model.h5
15-03-2023_23:36:50,0.173923503638828,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,True,results/15-03-2023_23:36:50_unet3plus_learning_curves.png,15-03-2023_23:36:50_unet3plus_best_model.h5
15-03-2023_23:54:52,0.423684759294566,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,True,results/15-03-2023_23:54:52_resunet_a_learning_curves.png,15-03-2023_23:54:52_resunet_a_best_model.h5
16-03-2023_00:27:45,0.257147334331581,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,True,results/16-03-2023_00:27:45_transunet_learning_curves.png,16-03-2023_00:27:45_transunet_best_model.h5
16-03-2023_02:38:36,0,631,4,200,0.03,2,100,0.2,"(256, 256, 3)",,True,results/16-03-2023_02:38:36_swinunet_learning_curves.png,16-03-2023_02:38:36_swinunet_best_model.h5
16-03-2023_03:02:05,0.207039667970309,631,4,200,0.003,2,100,0.2,"(256, 256, 3)",,False,results/16-03-2023_03:02:05_attunet_learning_curves.png,16-03-2023_03:02:05_attunet_best_model.h5
16-03-2023_03:17:35,0.349172980964701,631,4,200,0.003,2,100,0.2,"(256, 256, 3)",,False,results/16-03-2023_03:17:35_unet3plus_learning_curves.png,16-03-2023_03:17:35_unet3plus_best_model.h5
16-03-2023_03:35:01,0.422472910577979,631,4,200,0.003,2,100,0.2,"(256, 256, 3)",,False,results/16-03-2023_03:35:01_resunet_a_learning_curves.png,16-03-2023_03:35:01_resunet_a_best_model.h5
16-03-2023_04:07:43,0.329313962550708,631,4,200,0.003,2,100,0.2,"(256, 256, 3)",,False,results/16-03-2023_04:07:43_transunet_learning_curves.png,16-03-2023_04:07:43_transunet_best_model.h5
